Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2006-002,(1) Preliminary Phase,Midtown Park Apartments,1415,Scott,St,94115,"2040 OFARRELL ST, SAN FRANCISCO, CA",5,Western Addition,Western Addition,MOHCD,Multifamily,0,Rehabilitation,Rental,01/01/2020,,,01/01/2020,01/01/2022,Mercy Housing California,,Entity to be formed,,2014.0563,http://propertymap.sfplanning.org/?search=2014.0563,2014.0563R,,,,,139,139,0,100,0,0,24,55,60,0,0,0,0,,139,0,0,0,0,0,0,0,0,65,0,10,15,15,10,10,1,37.783005259,-122.438499577999,"(37.783005259, -122.438499577999)"
2007-003,(5) First Construction Document Issued,Eddy & Taylor,210,Taylor,St,94102,210 TAYLOR ST 94102,6,Downtown/Civic Center,Tenderloin,MOHCD,Multifamily,0,New Construction,Rental,06/06/2017,,06/28/2017,06/28/2017,04/01/2019,Tenderloin Neighborhood Development Corporation,,"Eddy & Taylor Associates, LP",201602179822,2015-001077PRJ,http://propertymap.sfplanning.org/?search=2015-001077PRJ,2015-001077CUA,,,,,113,112,1,99,0,16,14,67,15,0,0,12,1,2bd,112,0,0,30,5,30,0,35,0,77,0,0,0,0,0,0,0,37.784486516,-122.410661522999,"(37.784486516, -122.410661522999)"
2015-024,(5) First Construction Document Issued,"HPSY, Block 56/57",11,Innes,Ct,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,,04/14/2014,03/23/2016,03/23/2016,05/01/2018,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,132,15,117,11,0,0,6,8,1,0,0,0,0,,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,37.727610128,-122.367608759999,"(37.727610128, -122.367608759999)"
2014-003,(5) First Construction Document Issued,Transbay Block 8,250,Fremont,St,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Inclusionary-OCII,0,New Construction,Rental,10/28/2016,12/10/2015,,10/28/2016,05/08/2021,Related California,Tenderloin Neighborhood Development Corporation,"T8 Urban Housing Associates, LLC",,Not Applicable,,,,,,,468,70,398,15,0,20,32,18,0,0,0,0,1,1bd,70,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,37.78790232,-122.394359885999,"(37.78790232, -122.394359885999)"
2012-010,(5) First Construction Document Issued,Transbay Block 9,500-510,Folsom,St,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Inclusionary-OCII,Transbay,New Construction,Rental,02/16/2016,02/18/2016,,02/16/2016,12/31/2019,Essex/TMG,BRIDGE Housing Corporation,"Block 9 Residential, LLC",,Not Applicable,,,,,,,545,109,436,20,0,34,61,14,0,0,0,11,1,2bd,109,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,37.787203556,-122.395106768999,"(37.787203556, -122.395106768999)"
2015-042,(5) First Construction Document Issued,"HPSY, Block 55 (Inclusionary)",151,Friedell,St,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,03/01/2018,,,03/01/2018,12/01/2018,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,66,3,63,5,0,0,0,1,2,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37.727749643,-122.369462650999,"(37.727749643, -122.369462650999)"
2015-048,(2) Predevelopment Feasibility,"Block 48, Phase 1A, Block N1",878,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,08/01/2017,,,08/01/2017,01/01/2019,Lennar,,,,Not Applicable,,,,,,,18,2,16,11,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,37.728456523,-122.375641571999,"(37.728456523, -122.375641571999)"
2015-049,(2) Predevelopment Feasibility,"Block 48, Phase 1A, Block N2",868,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,08/01/2017,,,08/01/2017,01/01/2019,Lennar,,,,Not Applicable,,,,,,,8,1,7,13,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.728373814,-122.375034758999,"(37.728373814, -122.375034758999)"
2015-002,(2) Predevelopment Feasibility,"Block 48, Phase 1A, Block O",762,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,08/01/2017,,,08/01/2017,01/01/2019,Lennar,,,,Not Applicable,,,,,,,11,1,10,9,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.72819108,-122.374223819999,"(37.72819108, -122.374223819999)"
2016-005,(2) Predevelopment Feasibility,"Block 48, Phase 1A, Block P",966,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,08/01/2017,,,08/01/2017,01/01/2019,Lennar,,,,Not Applicable,,,,,,,10,1,9,10,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.727969481,-122.375243372999,"(37.727969481, -122.375243372999)"
2016-081,(2) Predevelopment Feasibility,"Block 48, Phase 1B, Block A",898,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,03/01/2018,,,03/01/2018,08/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,16,4,12,25,0,0,2,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,37.729009938,-122.378035670999,"(37.729009938, -122.378035670999)"
2016-082,(2) Predevelopment Feasibility,"Block 48, Phase 1B, Block G",888,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,03/01/2018,,,03/01/2018,08/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,34,3,31,9,0,0,1,2,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37.728693936,-122.377179117999,"(37.728693936, -122.377179117999)"
2016-059,(2) Predevelopment Feasibility,"Block 48, Phase 2A, Block B",899,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,01/01/2018,,,01/01/2018,06/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,44,6,38,14,0,0,3,2,1,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,37.728597403,-122.378108482999,"(37.728597403, -122.378108482999)"
2016-045,(2) Predevelopment Feasibility,"Block 48, Phase 2A, Block F",889,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,01/01/2018,,,01/01/2018,06/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,40,6,34,15,0,0,1,5,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37.728275388,-122.377280203999,"(37.728275388, -122.377280203999)"
2016-046,(2) Predevelopment Feasibility,"Block 48, Phase 2A, Block J",879,La Salle,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,01/01/2018,,,01/01/2018,06/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,40,6,34,15,0,0,2,4,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37.72812842,-122.376506781999,"(37.72812842, -122.376506781999)"
2016-047,(2) Predevelopment Feasibility,"Block 48, Phase 2A, Block M",869,La Salle,Ave ,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,01/01/2018,,,01/01/2018,06/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,40,6,34,15,0,0,2,4,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37.728080845,-122.375723338999,"(37.728080845, -122.375723338999)"
2016-060,(2) Predevelopment Feasibility,"Block 48, Phase 2B, Block E",988,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,06/01/2018,,,06/01/2018,11/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,15,2,13,13,0,0,0,2,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,37.728069999,-122.377410208999,"(37.728069999, -122.377410208999)"
2016-061,(2) Predevelopment Feasibility,"Block 48, Phase 2B, Block I",978,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,06/01/2018,,,06/01/2018,11/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,22,3,19,14,0,0,2,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,37.727901875,-122.376538927999,"(37.727901875, -122.376538927999)"
2016-062,(2) Predevelopment Feasibility,"Block 48, Phase 2B, Block L",968,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,06/01/2018,,,06/01/2018,11/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,15,2,13,13,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,37.727854362,-122.375755892999,"(37.727854362, -122.375755892999)"
2016-017,(2) Predevelopment Feasibility,"Block 48, Phase 3A, Block H",979,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,05/01/2018,,,05/01/2018,10/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,14,2,12,14,0,0,1,1,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.727531189,-122.376622419999,"(37.727531189, -122.376622419999)"
2016-018,(2) Predevelopment Feasibility,"Block 48, Phase 3A, Block K",969,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,05/01/2018,,,05/01/2018,10/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,26,3,23,12,0,0,2,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,37.727508963,-122.375506076999,"(37.727508963, -122.375506076999)"
2016-086,(2) Predevelopment Feasibility,"Block 48, Phase 3B, Block D",989,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,10/01/2018,,,10/01/2018,03/01/2020,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,12,2,10,17,0,0,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,37.727727896,-122.377610576999,"(37.727727896, -122.377610576999)"
2016-087,(2) Predevelopment Feasibility,"Block 48, Phase 3B, Block Q",999,Oakdale,Ave,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,10/01/2018,,,10/01/2018,03/01/2020,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,39,6,33,15,0,0,4,2,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,37.728034889,-122.378519654999,"(37.728034889, -122.378519654999)"
2016-058,(2) Predevelopment Feasibility,"HPSY, Block 52 (Inclusionary)",351,Friedell,St,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,03/01/2018,,,03/01/2018,03/01/2019,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,74,9,65,12,0,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,37.7273461,-122.370096443999,"(37.7273461, -122.370096443999)"
2014-024,(5) First Construction Document Issued,Transbay Block 1 (Inclusionary),160,Folsom,St,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Inclusionary-OCII,0,New Construction,Ownership,,,,04/27/2017,05/08/2021,Tishman Speyer,,"Block One Property Holder, LP",201309277934,Not Applicable,,,,,,,317,80,237,25,0,0,30,45,5,0,0,0,0,,80,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,37.789981604,-122.391730222999,"(37.789981604, -122.391730222999)"
2016-105,(1) Preliminary Phase,CP-02,0,Address not yet assigned,0,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,,,,,,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,570,58,512,10,0,0,0,0,0,0,0,0,0,,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,37.713524949,-122.386182648999,"(37.713524949, -122.386182648999)"
2016-106,(1) Preliminary Phase,"CP-03, CP-04",0,Address not yet assigned,0,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,,,,,,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,1140,87,1053,8,0,0,0,0,0,0,0,0,0,,87,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,37.713991084,-122.385242422999,"(37.713991084, -122.385242422999)"
2016-026,(1) Preliminary Phase,"HPSY, Block 1 (Hilltop)",0,Address not yet assigned,0,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,,,,,,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,240,24,216,10,0,0,0,0,0,0,0,0,0,,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,37.729497063,-122.370224646999,"(37.729497063, -122.370224646999)"
2016-107,(1) Preliminary Phase,Parcel B (HP02/HP03),0,Address not yet assigned,0,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,Inclusionary-OCII,0,New Construction,Ownership,,,,,,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,1420,149,1271,10,0,0,0,0,0,0,0,0,0,,149,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,37.730829567,-122.366021171999,"(37.730829567, -122.366021171999)"
2016-108,(1) Preliminary Phase,Transbay Block 4,0,Address not yet assigned,0,94105,Not Applicable,6,Financial District,Financial District/South Beach,OCII,Inclusionary-OCII,0,New Construction,Rental,,,,,,1899-12-31T00:00:00,,,,Not Applicable,,,,,,,480,270,210,56,0,0,0,0,0,0,0,0,1,,270,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,37.790008674,-122.393507961999,"(37.790008674, -122.393507961999)"
2008-006,(5) First Construction Document Issued,95 Laguna,95,Laguna,St,94102,95 LAGUNA ST 94102,8,Western Addition,Hayes Valley,MOHCD,Multifamily,0,New Construction,Rental,10/05/2017,,06/23/2017,06/23/2017,03/14/2019,Mercy Housing California,Openhouse,"Laguna Senior Housing, LP",201507060668,2015-009145PRJ,http://propertymap.sfplanning.org/?search=2015-009145PRJ, ,08/16/2012,,,,79,78,1,99,0,40,36,2,0,0,0,8,1,2bd,15,63,0,15,0,15,0,0,0,78,0,0,0,0,0,0,0,37.771697127,-122.426146640999,"(37.771697127, -122.426146640999)"
2009-006,(4) Site Work Permit Issued,2060 Folsom (17th and Folsom),2060,Folsom,St,94110,2070 FOLSOM ST 94110,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,11/01/2018,08/18/0111,,12/05/2018,10/01/2020,Chinatown Community Development Center,Mission Economic Development Agency,"2060 Folsom Housing, LP",201608054294,2015-014715PRJ,http://propertymap.sfplanning.org/?search=2015-014715PRJ,"2015-014715ENV,2015-014715PCA,2015-014715PPA,2015-014715SHD",,,,,127,126,1,99,0,22,15,47,42,0,0,13,1,2bd,103,0,23,29,0,29,0,0,0,76,0,50,0,0,0,0,0,37.764271262,-122.415742567999,"(37.764271262, -122.415742567999)"
2010-002,(6) Complete,John Burton Advocates for Youth Housing Complex (at Booker T Washington),800,Presidio,Ave,94115,"800 PRESIDIO AV, SAN FRANCISCO, CA 94115",5,Western Addition,Presidio Heights,MOHCD,Multifamily,0,New Construction,Rental,09/08/2015,,12/21/2015,12/21/2015,02/05/2018,John Stewart Company,Booker T Washington Community Service Center,"BTW Housing Partners, LP","201204168406, 201510149589",2006.0868,http://propertymap.sfplanning.org/?search=2006.0868,"2006.0868C,2006.0868C_3,2006.0868E,2006.0868E_3,2006.0868E_5,2006.0868K,2006.0868Q,2006.0868T,2006.0868Z",04/28/2011,,,,50,49,1,98,0,48,0,1,0,0,0,0,1,2bd,24,0,25,25,0,25,0,0,24,13,0,12,0,0,0,0,0,37.784109018,-122.445778739999,"(37.784109018, -122.445778739999)"
2010-003,(2) Predevelopment Feasibility,Casa de la Mision,3001,24th ,St,94110,Planning address not yet assigned,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,12/01/2019,,,12/01/2019,12/01/2021,Mercy Housing California,Mission Neighborhood Centers,Mercy Housing California 59,201806040916,Not Yet Available,,,,,,,45,44,1,98,0,44,0,0,0,0,0,0,1,studio,0,44,0,44,0,44,0,0,0,44,0,0,0,0,0,0,0,37.752439671,-122.412199451999,"(37.752439671, -122.412199451999)"
2010-005,(2) Predevelopment Feasibility,Balboa Park Upper Yard,2340,San Jose ,Ave,94112,"2340 San Jose AVE, SAN FRANCISCO, CA 94112",11,Ocean View,Outer Mission,MOHCD,Multifamily,0,New Construction,Rental,,,,03/01/2020,11/01/2021,Related California,Mission Housing Development Corporation,Balboa Park Hosuing Partners L.P.,201807033677,2017-012151PRJ,http://propertymap.sfplanning.org/?search=2017-012151PRJ,"2017-012151ENV,2017-012151GPR,2017-012151PPA",,,,,130,129,1,99,0,6,46,60,17,0,0,10,1,2bd,129,0,0,0,0,0,33,0,0,0,0,129,0,0,0,0,0,37.720294332,-122.447278135999,"(37.720294332, -122.447278135999)"
2011-003,(1) Preliminary Phase,801 Brannan (Land Dedication Site),600,7th ,St,94103,Planning address not yet assigned,6,South of Market,South of Market,MOHCD,Multifamily,0,New Construction,Rental,,,,12/31/1899,,Developer not yet selected,,Developer not yet selected,,Not Yet Available,,,,,,,150,149,1,99,0,0,0,0,0,0,0,0,1,,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.771823862,-122.403882619999,"(37.771823862, -122.403882619999)"
2011-015,(5) First Construction Document Issued,1296 Shotwell,1296,Shotwell,St,94110,1294 SHOTWELL ST 94110,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,04/30/2018,05/31/2017,05/15/2018,05/15/2018,12/20/2019,Mission Economic Development Agency,Chinatown Community Development Center,"1296 Shotwell Housing, LP",201608195545,2015-018056PRJ,http://propertymap.sfplanning.org/?search=2015-018056PRJ,"2015-018056AHB,2015-018056ENV,2015-018056PPA",,,,,94,93,1,99,0,24,69,0,0,0,0,0,1,2bd,0,93,0,19,0,19,0,0,0,93,0,0,0,0,0,0,0,37.748587522,-122.415203444999,"(37.748587522, -122.415203444999)"
2012-003,(5) First Construction Document Issued,Alice Griffith Phase 3A-3B  (Block 1),2500,Arelious Walker,Dr,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,Candlestick Point,New Construction,Rental,02/29/2016,11/09/2015,02/08/2016,02/08/2016,12/31/2018,McCormack Baron Salazar,San Francisco Housing Development Corporation,"Alice Griffith Phase 3A, LP, Alice Griffith Phase 3B, LP",,Not Applicable,,,,,,,122,122,0,100,0,0,13,71,35,3,0,12,1,2bd,122,0,0,0,0,0,93,0,0,122,0,0,0,0,0,0,0,37.719645207,-122.384830980999,"(37.719645207, -122.384830980999)"
2012-004,(5) First Construction Document Issued,Alice Griffith Phase 4 (Block 5),2800,Arelious Walker,Dr,94124,Not Applicable,10,Bayview,Bayview Hunters Point,OCII,HOPE SF,Candlestick Point,New Construction,Rental,08/07/2017,03/13/2017,06/22/2017,06/22/2017,10/31/2018,McCormack Baron Salazar,Tabernacle Community Development Corporation,"Alice Griffith Phase 4, LP",,Not Applicable,,,,,,,31,31,0,100,0,0,12,6,0,10,3,3,1,2bd,31,0,0,0,0,0,19,0,0,19,0,12,0,0,0,0,0,37.717916097,-122.386426872999,"(37.717916097, -122.386426872999)"
